long,lat,CO2
14.144513,40.823887,36.30896
14.144915,40.823627,31.11692
14.144796,40.823418,63.64664
14.146543,40.823006,48.58266
14.146529,40.823355,32.63568
14.146881,40.823391,32.98888
14.146695,40.823691,458.57722
14.146972,40.823969,58.87844
14.147123,40.823185,52.11466
14.146841,40.822967,19.76154
14.146236,40.823393,27.8145
14.146205,40.8229,21.70414
14.137753,40.833137,3.58498
14.137676,40.833412,22.85204
14.137424,40.832957,84.27352
14.137358,40.833519,12.7152
14.136989,40.833932,33.35974
14.136728,40.833499,52.04402
14.136921,40.833006,34.36636
14.137228,40.832484,41.04184
14.137513,40.83222,9.39512
14.138739,40.832126,13.81012
14.138549,40.831358,46.799
14.137857,40.832632,28.92708
14.144507,40.822746,18.3664
14.144039,40.822618,48.08818
14.143796,40.823085,64.88284
14.143398,40.824026,35.03744
14.143109,40.823575,49.60694
14.142412,40.823531,44.80342
14.143402,40.822729,184.0172
14.143054,40.823151,58.8078
14.14245,40.823163,168.51172
14.14185,40.823347,67.53184
